date,price
2019-04-04,945.7584183550772
2019-04-05,977.799419282808
2019-04-06,983.32751636627
2019-04-07,1008.7340310015232
2019-04-08,1023.9176949071418
2019-04-09,1003.7469255856522
2019-04-10,1028.7356852264008
2019-04-11,967.9577607170634
2019-04-12,971.8688427102358
2019-04-13,968.3449807216072
2019-04-14,987.3443560441472
2019-04-15,967.3904282678856
2019-04-16,995.5974220152832
2019-04-17,998.0170146914588
2019-04-18,1012.3177168266202
2019-04-19,1011.1377204803656
2019-04-20,1013.2343661822968
2019-04-21,1003.7145043272202
2019-04-22,1013.8444300056372
2019-04-23,1032.845924736525
2019-04-24,1005.1065112493914
2019-04-25,957.8414294563262
2019-04-26,973.4782623062626
2019-04-27,973.1616030911
2019-04-28,966.9593199273958
2019-04-29,952.2759546120204
2019-04-30,982.8464202935164
2019-05-01,987.6408183849252
2019-05-02,1001.7148315411551
2019-05-03,1049.04933076929
2019-05-04,1054.5990325962118
2019-05-05,1046.181787002682
2019-05-06,1048.714780472473
2019-05-07,1067.0291033977185
2019-05-08,1075.1206305794417
2019-05-09,1103.5738119632565
2019-05-10,1131.1468637728951
2019-05-11,1303.3926399872678
2019-05-12,1232.8306698454958
2019-05-13,1360.619649967441
2019-05-14,1432.0710325766647
2019-05-15,1503.0797528583012
2019-05-16,1462.7184665685138
2019-05-17,1361.910386078598
2019-05-18,1342.05583631617
2019-05-19,1499.0230987416503
2019-05-20,1456.78184407783
2019-05-21,1460.8512583945023
2019-05-22,1401.722649299806
2019-05-23,1431.4293138465505
2019-05-24,1456.3782389143685
2019-05-25,1466.2086019429576
2019-05-26,1570.0348829900736
2019-05-27,1624.4022202322242
2019-05-28,1610.8335355989234
2019-05-29,1598.3999633327107
2019-05-30,1531.3077201807891
2019-05-31,1592.615329453632
2019-06-01,1576.3131571176154
2019-06-02,1610.7158558429662
2019-06-03,1504.0830353014223
2019-06-04,1413.6545202357142
2019-06-05,1442.7326672627066
2019-06-06,1456.1421674514197
2019-06-07,1491.2857034042763
2019-06-08,1467.0216015359697
2019-06-09,1409.5078425863755
2019-06-10,1477.1028082483265
2019-06-11,1462.923378539219
2019-06-12,1509.604455305777
2019-06-13,1516.889603073893
2019-06-14,1583.909460133
2019-06-15,1607.5337626128346
2019-06-16,1639.338705061331
2019-06-17,1685.9583638973531
2019-06-18,1644.7497036135403
2019-06-19,1673.8730436932335
